id,full_text,source
1166061629475151872,go to @KKWFRAGRANCE Instagram to enter our signed fragrance collab set giveaway! https://t.co/fjkcYlLgkw https://t.co/njDm1kbBCb,Twitter for iPhone
1166015744133304321,sign up for my @kylieskin text alerts!! Text SKIN to 84998 💕 https://t.co/sEWIRuZYJn,Twitter for iPhone
1165817928903643136,"I’ve been wearing Kim’s fragrances forever so I’m so excited to have my own collab with @kkwfragrance 💋 when @kimkardashian and I were creating the scents, I couldn’t pick a favorite from the nude, pink and red, so we launched them all! available now at https://t.co/arlsjD1X4S https://t.co/T4aSrJMe2N",Twitter for iPhone
1165646182627995649,RT @kyliecosmetics: All lip liners are only $5! 😍 shop now on https://t.co/rkT2b8JJL5 ✨ hurry - ends 8/26 11:59pm pst https://t.co/9h8G13qm…,Twitter for iPhone
1165646112084000768,get free shipping when you shop my fragrance bundle! https://t.co/arlsjD1X4S @KKWFRAGRANCE 💋 https://t.co/b1lwov8OnQ,Twitter for iPhone
1165628459650994176,skin concealer ✨ all 30 shades are available now at @ultabeauty 💗 #ultabeauty https://t.co/dSWAUwaHI5,Twitter for iPhone
1165345352389541889,shop my fragrance collab with @KimKardashian at https://t.co/klueDZVTEq 💋 I’m wearing the nude today! 💕 https://t.co/cICSCLVT6S,Twitter for iPhone
1165279246949896194,weekend sale at @kyliecosmetics! Get $5 lip liners and a free sharpener at https://t.co/bDaiohhXCV 😘 be quick to get your shades! https://t.co/DpPvFMSmmK,Twitter for iPhone
1165068364844167170,RT @CelenaB: Ordered the new @KKWFRAGRANCE  collab with @KimKardashian @KylieJenner and few minutes later received an email saying it’s bee…,Twitter for iPhone
1165067752794574848,RT @BabyIsavel: I just ordered my KKW fragrance 🤪🤪❤️❤️ I’m excited @KimKardashian @KKWFRAGRANCE @KylieJenner,Twitter for iPhone
1165067672830107649,RT @myflavasrock14: Just bought my @KKWFRAGRANCE collab with @KylieJenner. Can’t wait for it to arrive!!! 💋💋😍@KimKardashian.,Twitter for iPhone
1165067610817318914,❤️ https://t.co/sS83KKkBfR,Twitter for iPhone
1164984680149467136,My fragrance collab with @KimKardashian is available NOW on https://t.co/arlsjD1X4S 💋 cant wait for you guys to try these 3 beautiful scents! https://t.co/y5SdcWOe2L,Twitter for iPhone
1164959299988180993,1 hour till my @kkwfragrance collaboration with my sis @kimkardashian launches on https://t.co/5O6sS802RY!!!! ♥️💗 what scent are you getting? i can’t wait. https://t.co/c8C041xV8z,Twitter for iPhone
1164601851787894784,"RT @KrisJenner: This is devastating!!! To human lives, to plants and animals, and to our planet. #prayforamazonia #savetheamazon https://t.…",Twitter for iPhone
1164407641893773312,"RT @KKWFRAGRANCE: KYLIE JENNER BY KKW FRAGRANCE Pink &amp; Nude Lips offer notes of solar gardenia, creamy coconut and vibrant amber. Which sce…",Twitter for iPhone
1164357964892741632,RT @TheEllenShow: This is your chance to do something great for someone who really deserves it. If you know someone who could really use so…,Twitter for iPhone
1164213052327075841,2 MORE DAYS. KYLIE JENNER BY KKW FRAGRANCE launches Friday 8.23 at 12pm pst on https://t.co/arlsjD1X4S 💋 #KKWFXKYLIE https://t.co/5zEDhWXnmn,Twitter Web App
1164025238939504640,♥️ https://t.co/N9fjhbJk7E,Twitter for iPhone
1163505713458507776,i get so excited to wake up to this every morning 💗 blessed af https://t.co/7tf2TEffju,Twitter Web App
1163482115259826176,my @kylieskin sets are BACK and selling fast!! Get yours at https://t.co/n1uvmPB0xY before they're gone! https://t.co/zhPmE4XtjD,Twitter Web App
1163465014545539072,One hour until my @kylieskin sets restock https://t.co/n1uvmPB0xY https://t.co/AdT3K4DjdD,Twitter for iPhone
1163283550965129216,last few hours to get a free makeup bag! https://t.co/bDaiohhXCV,Twitter Web App
1163213907340623872,Restock alert 🚨 Grab the entire @kylieskin set TOMORROW at 9am pst! 💗 https://t.co/n1uvmPB0xY https://t.co/gpWMOQaQ6W,Twitter Web App
1163157648293781504,I know you guys have been waiting for these and I’m so excited that my @kylieskin sets are BACK tomorrow 😘 #kylieskin sets restock 9am Monday! https://t.co/n1uvmPB0xY 💕 https://t.co/sbLNDzjV3l,Twitter for iPhone
1162804913811808257,don’t ever sleep on yourself 🖤 https://t.co/KuvbSJ6GYx,Twitter for iPhone
1162753112408391681,I’m giving away FREE makeup bags this weekend on https://t.co/bDaiohhXCV 💕 @kyliecosmetics https://t.co/E24SQpTIdk,Twitter for iPhone
1162421194768805889,golden hour is my happy hour https://t.co/BwtBs4wKdQ,Twitter Web App
1162347851592060928,"my @kylieskin sets restock in 3 days!! Monday, August 19 at 9am pst https://t.co/n1uvmPB0xY 💕 https://t.co/fOWWsOMGzv",Twitter for iPhone
1162109068942565381,"Soo I did a collaboration with @kkwfragrance and i couldn’t be more excited, wow. I’ve fallen in love with my sisters fragrances and it’s all I’ve genuinely worn since i could remember! Can’t wait for you guys to get your hands on these August 23rd ♥️ Thank you Kim @kimkardashian https://t.co/ErX1B7r7FM",Twitter Web App
1162091775164477440,find your perfect match! my skin concealers are available at all @ultabeauty stores now 😍 https://t.co/CZv91ehlNT,Twitter Web App
1162062556216745984,Wanderlust 🌏 https://t.co/2S0TabvSM8,Twitter Web App
1162030359262793728,Birthday Collection ✨💗 https://t.co/bDaiohhXCV https://t.co/O9Y8tETani,Twitter Web App
1161718844974460928,I'm restocking my @KylieSkin Sets on Monday 8/19 at 9am pst 💗✨ Who’s excited?! 💫 #kylieskin https://t.co/ULj6RgtDpE,Twitter Web App
1161718594356465664,25% off Lip Kits for 48 hours only! Use code: AFTERPAYDAY at checkout https://t.co/bDaiohhXCV #AfterPayDay @kyliecosmetics https://t.co/uajRNJuzx4,Twitter Web App
